time_s,rest_time_s,energy,food_items,searching,grabbing,deposit,homing,resting,avoidance,gamma_f,gamma_r,gamma_l,entered_deposit,completed_deposit
505.25,80.0,5183.452638221084,3.074800289187817,2.641984616196719,1.1055506281132377,0.6011169284104922,0.045200300075807456,3.476250829982055,0.1298966972216797,0.009005465460717232,0.00433652689085573,0.008114008850634057,0.010021186702498122,0.010028091213896523
510.25,80.0,5340.723769591342,3.0743934971129807,2.644111198957666,1.1055299022809186,0.601077055967112,0.04545404256120987,3.473801170026892,0.13002663020619346,0.009004273984443034,0.004339553456394918,0.00812718952191726,0.010019316331771284,0.01001791907173148
515.25,80.0,5497.621028074661,3.0740407560198086,2.645852540875046,1.1055246342746574,0.6011181615978956,0.04569076585018866,3.471643789739525,0.13017010766267878,0.009003232438014597,0.004342218240842577,0.00813824085391443,0.01001481956774227,0.010014977057739497
520.25,80.0,5654.518426547009,3.073880976541502,2.647777560355968,1.1056717739046649,0.6009193126463048,0.0457432152275645,3.469574741918083,0.13031339594740665,0.00900272803883595,0.004344757058385551,0.00815029093880274,0.010001596349046564,0.010021186702498122
525.25,80.0,5811.419102907541,3.073863706083455,2.649901002143126,1.1059227217193401,0.6005297910295153,0.045669652556932845,3.4675046845244784,0.1304721480265986,0.009002671526630257,0.00434729824193214,0.008163737044392032,0.009999483823061449,0.010019316331771284
530.25,80.0,5968.116722676539,3.073919386742043,2.6521004914991164,1.1062122291744314,0.6001213692777546,0.0455839188915349,3.4653457495622533,0.13063624159490086,0.009002820432443381,0.00434994051042048,0.008177555025810157,0.009994876009693907,0.01001481956774227
535.25,80.0,6124.326672628241,3.074080047721144,2.6543481494945076,1.106571433965854,0.5998009288203454,0.04552972955018191,3.4629371114068235,0.13081264676227902,0.009003272946874419,0.004352879153723621,0.008191760918774047,0.009989421909511501,0.010001596349046564
540.25,80.0,6280.138948421045,3.0743337952314214,2.656599863698576,1.1069807118176538,0.5995299108520203,0.04550085523448415,3.460389678342641,0.13099898005461647,0.009004001341140211,0.004356007737211898,0.008206024004666366,0.00998550481401739,0.009999483823061449
545.25,80.0,6435.690373439131,3.0746636567950327,2.658824488655183,1.1074244044299089,0.5992557299469957,0.04548298589184635,3.457825727282681,0.1311866637933765,0.009004952142541822,0.0043591553681526785,0.008220109314394975,0.009981756896433512,0.009994876009693907
550.25,80.0,6590.916408437777,3.0750632596764853,2.660960570884005,1.1078966047339607,0.5990167880446454,0.045485378809115164,3.4552676087512317,0.13137304877703357,0.00900610781571809,0.004362298667835662,0.008233669152658976,0.009978536680242112,0.009989421909511501
555.25,80.0,6745.84245778574,3.075521559182973,2.6629601018842335,1.1083862139108045,0.5988122360484355,0.04550206244219345,3.452785739558335,0.1315536461559888,0.009007436249769518,0.004365353494976909,0.008246397168387496,0.009975875411893684,0.00998550481401739
